id,Fecha de nacimiento,tipo cliente,Factura online,Antigüedad Equipo,Plan de datos,facturación,mora,Fecha inicio contrato,minutos,resultado
5,1990-05-01 00:05:22.046,2,1,9,0,44588,34,2017-12-22 10:09:47.504,644,0
8,1980-06-30 19:08:57.680,2,0,41,1,341480,3,2017-07-28 02:54:52.022,663,0
9,1984-10-10 21:23:28.869,2,0,38,1,230662,20,2017-06-29 08:15:47.525,1039,1
11,1986-07-01 08:58:42.308,2,1,11,1,205336,9,2017-03-13 18:39:25.308,535,0
14,1985-11-08 12:29:16.237,2,1,6,1,333812,0,2016-04-01 19:20:55.326,1403,0
16,1986-01-23 00:26:52.782,1,1,6,0,429525,0,2015-08-02 21:50:40.258,1869,0
18,1981-11-30 06:11:31.790,2,1,21,1,327180,0,2016-08-03 23:33:54.546,2340,0
20,1987-08-15 05:31:09.530,2,0,35,1,224201,43,2017-10-12 05:47:50.487,659,0
21,1987-02-26 16:41:27.550,2,1,5,0,281777,30,2018-06-15 10:20:01.624,286,0
22,1984-10-08 06:05:10.340,2,1,7,0,204131,33,2017-07-26 18:58:12.462,1213,0
23,1986-12-22 11:27:40.419,1,1,6,1,303292,2,2017-05-09 19:36:43.823,386,0
25,1992-12-05 04:14:37.112,1,0,37,1,31589,60,2017-07-25 01:30:57.096,467,0
30,1981-11-06 04:06:28.190,1,1,11,1,210614,33,2018-02-09 20:47:49.340,912,0
32,1989-07-26 00:14:55.131,2,1,11,1,250882,0,2015-09-22 23:32:01.067,1296,1
33,1978-06-11 09:43:12.226,2,0,30,1,221889,47,2017-11-13 00:28:36.710,1342,0
34,1984-01-28 17:16:08.379,2,0,39,1,287475,0,2016-05-24 12:46:44.748,906,0
35,1988-07-05 06:59:02.160,1,0,37,1,215628,36,2017-09-21 23:39:39.076,1177,0
36,1986-01-10 13:55:54.398,1,1,3,1,258745,0,2016-10-18 03:52:13.948,336,0
37,1986-08-03 13:43:36.300,1,0,34,1,267116,15,2017-02-01 17:42:17.169,1622,0
38,1989-01-01 03:36:30.981,1,1,18,1,247242,36,2017-11-23 08:03:35.633,1319,0
39,1982-10-19 13:47:29.290,1,1,7,1,178435,0,2015-09-19 11:14:45.944,639,0
45,1978-10-26 17:50:11.755,2,1,2,1,259020,11,2017-07-04 17:30:20.125,676,0
46,1984-12-08 22:33:47.159,2,1,20,1,264502,8,2016-11-22 02:29:29.507,366,0
47,1981-08-16 08:24:26.508,2,0,6,1,352465,32,2018-03-04 17:55:34.688,1980,0
52,1955-07-02 11:58:07.447,2,0,46,1,261218,54,2017-11-05 16:07:17.517,1358,0
53,1969-12-10 07:40:55.531,1,1,15,1,260862,0,2014-10-14 12:07:36.410,1452,0
54,1955-05-17 14:30:32.912,2,0,31,1,226244,31,2017-05-22 16:28:16.952,1680,0
58,1955-01-06 20:05:54.551,2,1,13,1,310672,10,2017-07-12 08:22:23.923,1547,0
59,1960-03-16 11:50:57.398,2,1,17,1,335172,0,2015-03-29 17:09:27.271,1639,0
61,1958-05-24 20:38:51.437,2,1,2,1,199204,0,2016-05-22 06:43:23.604,568,0
66,1955-12-30 11:09:52.621,1,1,12,1,127202,12,2016-12-02 13:55:44.374,372,0
67,1952-09-11 12:13:04.056,2,1,7,0,219843,30,2017-05-24 05:52:42.165,899,1
69,1964-03-29 23:43:17.181,1,0,34,1,-678,11,2016-12-30 13:46:07.315,192,0
70,1960-01-30 15:41:04.043,3,0,19,1,251106,56,2018-08-29 14:27:02.742,1420,0
71,1959-09-05 18:21:21.283,1,1,2,1,333714,3,2017-04-19 12:18:29.283,1558,0
73,1956-03-02 21:40:40.289,2,0,47,1,290819,43,2017-12-29 22:24:24.539,469,0
75,1959-07-14 18:08:00.720,1,1,8,1,205094,9,2016-12-28 02:39:06.883,1313,0
76,1952-03-22 00:52:17.292,2,1,10,1,207361,0,2016-01-06 03:55:28.490,763,0
77,1957-08-09 16:06:37.145,1,0,40,1,385524,33,2017-08-06 13:07:43.868,1395,0
81,1952-12-01 04:00:07.641,2,0,4,1,125941,0,2015-08-07 05:54:44.340,1205,0
83,1957-02-10 04:56:08.073,1,1,4,0,247282,0,2016-04-11 20:32:59.100,884,0
84,1949-10-30 21:18:53.853,2,0,37,1,322372,6,2017-08-17 10:04:57.803,795,0
86,1960-06-08 12:47:56.357,1,0,31,1,245155,39,2017-09-30 21:03:54.943,822,0
88,1964-10-20 21:03:19.348,1,0,12,1,205016,0,2016-08-03 19:35:12.512,580,0
90,1955-11-25 00:21:07.734,2,0,42,1,390967,50,2018-04-12 14:48:11.550,2011,1
91,1958-02-26 11:47:31.328,1,1,10,1,229186,0,2016-08-14 01:29:54.433,702,0
93,1959-01-08 10:35:37.455,1,0,37,1,247268,45,2018-03-04 04:02:16.647,988,0
96,1954-03-30 03:13:09.276,1,1,18,1,229074,1,2016-12-18 22:59:27.306,1113,0
98,1960-02-10 13:34:17.229,1,1,6,1,313302,0,2016-02-01 16:12:38.745,1849,0
99,1958-07-15 23:22:58.247,3,1,7,1,494775,10,2017-07-01 09:16:47.734,2414,1
100,1950-06-28 19:37:09.706,3,1,17,0,240828,1,2017-07-20 09:14:47.198,1354,0
101,1958-07-03 06:19:10.544,1,1,19,1,235454,31,2017-08-22 05:13:32.407,817,0
102,1959-03-22 03:17:09.836,3,1,19,1,306372,0,2016-01-24 04:55:33.974,629,1
106,1961-08-13 16:57:22.831,2,0,44,1,189684,4,2017-06-04 10:28:57.208,1241,0
107,1964-04-27 20:14:57.871,2,1,13,1,356907,54,2017-08-12 07:33:56.675,1278,0
108,1956-09-29 20:21:01.858,2,1,8,1,367283,31,2017-11-27 00:15:16.622,1605,0
109,1955-04-29 16:56:40.117,2,0,43,1,202154,41,2017-07-30 20:52:49.504,403,0
110,1967-05-02 23:40:39.039,2,1,4,1,313888,0,2016-10-13 16:16:55.895,1076,0
111,1952-11-13 21:31:44.276,2,1,3,1,165594,0,2015-10-13 03:21:39.736,1019,1
114,1952-12-18 15:33:51.140,1,0,36,1,289789,11,2016-12-30 10:40:39.423,989,0
115,1955-02-10 09:34:03.172,1,1,3,0,235847,31,2017-10-17 04:25:04.751,421,0
116,1957-06-25 23:09:02.343,2,1,16,1,332230,39,2017-08-30 02:12:20.936,1215,0
117,1966-02-01 16:27:17.761,2,0,44,1,308028,0,2016-07-22 04:43:01.161,720,0
121,1959-01-24 17:49:40.578,1,0,33,1,341236,66,2017-12-30 12:04:46.276,1601,0
123,1963-04-28 18:35:53.081,2,0,44,1,305858,0,2014-12-17 15:25:05.912,1227,0
124,1961-01-15 04:23:00.266,2,0,33,1,288474,0,2016-03-30 13:37:49.893,1639,0
125,1965-04-03 09:17:57.194,2,1,4,0,292035,0,2016-09-24 04:04:05.625,865,0
126,1960-02-23 19:07:44.316,2,1,8,1,272327,0,2016-08-17 19:03:08.420,1566,0
132,1965-06-27 13:11:03.579,1,1,6,0,251317,0,2016-09-10 16:00:03.965,1158,0
134,1957-05-13 07:20:31.926,3,1,7,0,342032,0,2015-10-02 17:42:14.038,940,0
135,1959-10-19 12:11:12.669,2,0,30,1,268566,39,2017-10-08 07:16:53.593,1755,0
136,1959-04-29 20:48:05.898,1,0,45,1,288724,0,2016-07-14 22:39:27.272,1203,0
137,1959-11-20 08:46:46.492,3,0,37,1,221330,0,2016-08-12 10:41:17.599,1588,0
138,1959-09-22 17:27:54.070,1,0,34,1,191736,32,2017-06-14 20:42:45.804,902,0
140,1958-11-25 19:55:23.273,2,0,44,1,102205,34,2017-06-25 10:28:41.816,1062,0
144,1957-03-08 18:33:11.841,1,0,47,1,430061,1,2016-10-09 02:55:46.610,2727,0
145,1960-12-23 22:44:30.183,1,0,40,1,418661,1,2017-01-20 17:04:16.278,1591,0
148,1950-05-20 14:47:17.082,2,1,2,1,306071,0,2016-03-24 13:43:50.754,920,0
149,1951-04-05 08:00:05.161,2,1,7,0,266284,38,2017-11-20 16:27:10.889,1252,0
150,1960-12-07 18:51:25.129,1,1,19,1,375330,32,2017-08-07 03:41:35.521,1902,0
151,1960-11-13 08:52:27.937,1,1,6,0,274057,1,2016-12-25 08:25:40.629,1156,0
152,1950-01-20 22:56:00.268,1,1,5,0,275299,0,2015-11-07 20:14:34.068,821,0
154,1964-08-11 03:50:16.161,3,1,2,1,442321,0,2016-07-30 18:19:08.513,2546,0
